Datetime,Asleep,Time Offset
2020-02-03 03:36:00,1,217
2020-02-03 03:37:00,1,218
2020-02-03 03:38:00,1,219
2020-02-03 03:39:00,1,220
2020-02-03 03:40:00,1,221
2020-02-03 03:41:00,1,222
2020-02-03 03:42:00,1,223
2020-02-03 03:43:00,1,224
2020-02-03 03:44:00,1,225
2020-02-03 03:45:00,1,226
2020-02-03 03:46:00,1,227
2020-02-03 03:47:00,1,228
2020-02-03 03:48:00,1,229
2020-02-03 03:49:00,1,230
2020-02-03 03:50:00,1,231
2020-02-03 03:51:00,1,232
2020-02-03 03:52:00,1,233
2020-02-03 03:53:00,1,234
2020-02-03 03:54:00,1,235
2020-02-03 03:55:00,1,236
2020-02-03 03:56:00,1,237
2020-02-03 03:57:00,1,238
2020-02-03 03:58:00,1,239
2020-02-03 03:59:00,1,240
2020-02-05 00:00:00,0,1
2020-02-05 00:01:00,0,2
2020-02-05 00:02:00,0,3
2020-02-05 00:03:00,0,4
2020-02-05 00:04:00,0,5
2020-02-05 00:05:00,0,6
2020-02-05 00:06:00,0,7
2020-02-05 00:07:00,0,8
2020-02-05 00:08:00,0,9
2020-02-05 00:09:00,0,10
2020-02-05 00:10:00,0,11
2020-02-05 00:11:00,0,12
2020-02-05 00:12:00,0,13
2020-02-05 00:13:00,0,14
2020-02-05 00:14:00,0,15
2020-02-05 00:15:00,0,16
2020-02-05 00:16:00,0,17
2020-02-05 00:17:00,0,18
2020-02-05 00:18:00,0,19
2020-02-05 00:19:00,0,20
2020-02-05 00:20:00,0,21
2020-02-05 00:21:00,0,22
2020-02-05 00:22:00,0,23
2020-02-05 00:23:00,0,24
2020-02-05 00:24:00,0,25
2020-02-05 00:25:00,0,26
2020-02-05 00:26:00,0,27
2020-02-05 00:27:00,0,28
2020-02-05 00:28:00,0,29
2020-02-05 00:29:00,0,30
2020-02-05 00:30:00,0,31
2020-02-05 00:31:00,0,32
2020-02-05 00:32:00,0,33
2020-02-05 00:33:00,0,34
2020-02-05 00:34:00,0,35
2020-02-05 00:35:00,0,36
2020-02-05 00:36:00,0,37
2020-02-05 00:37:00,0,38
2020-02-05 00:38:00,0,39
2020-02-05 00:39:00,0,40
2020-02-05 00:40:00,0,41
2020-02-05 00:41:00,0,42
2020-02-05 00:42:00,0,43
2020-02-05 00:43:00,0,44
2020-02-05 00:44:00,0,45
2020-02-05 00:45:00,0,46
2020-02-05 00:46:00,0,47
2020-02-05 00:47:00,0,48
2020-02-05 00:48:00,0,49
2020-02-05 00:49:00,0,50
2020-02-05 00:50:00,0,51
2020-02-05 00:51:00,0,52
2020-02-05 00:52:00,0,53
2020-02-05 00:53:00,0,54
2020-02-05 00:54:00,0,55
2020-02-05 00:55:00,0,56
2020-02-05 00:56:00,0,57
2020-02-05 00:57:00,0,58
2020-02-05 00:58:00,0,59
2020-02-05 00:59:00,0,60
2020-02-05 01:00:00,0,61
2020-02-05 01:01:00,0,62
2020-02-05 01:02:00,0,63
2020-02-05 01:03:00,0,64
2020-02-05 01:04:00,0,65
2020-02-05 01:05:00,0,66
2020-02-05 01:06:00,0,67
2020-02-05 01:07:00,0,68
2020-02-05 01:08:00,0,69
2020-02-05 01:09:00,0,70
2020-02-05 01:10:00,0,71
2020-02-05 01:11:00,0,72
2020-02-05 01:12:00,0,73
2020-02-05 01:13:00,0,74
